Season,Team,Name,Games_Played,Games_Started,Minutes_Played,Goals,Assists,Shots_On_Goal,Shots,Yellow_Cards,Red_Cards
2013/2014,BAYERN MUNICH,"Mandzukic, Mario",30,21,2019,18,4,51,77,5,0
2013/2014,BAYERN MUNICH,"Muller, Thomas",31,25,2167,13,10,35,68,2,0
2013/2014,BAYERN MUNICH,"Robben, Arjen",28,20,1686,11,6,39,75,0,0
2013/2014,BAYERN MUNICH,"Gotze, Mario",27,20,1822,10,8,24,45,0,0
2013/2014,BAYERN MUNICH,"Pizarro, Claudio",17,6,683,10,3,18,25,0,0
2013/2014,BAYERN MUNICH,"Ribéry, Franck",22,18,1637,10,10,29,61,2,0
2013/2014,BAYERN MUNICH,"Shaqiri, Xherdan",17,10,782,6,2,19,34,0,0
2013/2014,BAYERN MUNICH,"Schweinsteiger, Bastian",23,22,1831,4,4,16,36,4,0
2013/2014,BAYERN MUNICH,"Alaba, David",28,26,2398,2,6,8,41,0,0
2013/2014,BAYERN MUNICH,"Alcántara, Thiago",16,11,999,2,4,6,20,1,0
2013/2014,BAYERN MUNICH,Dante,29,27,2416,2,1,9,23,4,0
2013/2014,BAYERN MUNICH,"Kroos, Toni",29,24,2065,2,4,13,48,6,0
2013/2014,BAYERN MUNICH,"Boateng, Jerome",25,25,2169,1,0,4,13,6,1
2013/2014,BAYERN MUNICH,"Lahm, Philipp",28,25,2336,1,4,4,14,2,0
2013/2014,BAYERN MUNICH,"Van Buyten, Daniel",12,10,923,1,0,2,7,3,0
2013/2014,BAYERN MUNICH,"Contento, Diego",10,6,577,0,1,0,4,1,0
2013/2014,BAYERN MUNICH,"Hojbjerg, Pierre-Emile",7,2,280,0,1,3,11,0,0
2013/2014,BAYERN MUNICH,"Kirchhoff, Jan",9,0,115,0,0,1,2,1,0
2013/2014,BAYERN MUNICH,"Martínez, Javi",18,14,1332,0,0,6,17,3,0
2013/2014,BAYERN MUNICH,"Neuer, Manuel",31,31,2745,0,0,0,0,0,0
2013/2014,BAYERN MUNICH,"Raeder, Lukas",2,1,135,0,1,0,0,0,0
2013/2014,BAYERN MUNICH,Rafinha,28,25,2202,0,7,3,10,4,1
2013/2014,BAYERN MUNICH,"Sallahi, Ylli",1,1,51,0,0,0,0,0,0
2013/2014,BAYERN MUNICH,"Starke, Tom",2,2,180,0,0,0,0,0,0
2013/2014,BAYERN MUNICH,"Weiser, Mitchell",3,2,138,0,0,0,0,1,0
2014/2015,BAYERN MUNICH,"Lewandowski, Robert",31,28,2486,17,5,50,108,0,0
2014/2015,BAYERN MUNICH,"Robben, Arjen",21,20,1679,17,7,44,84,0,0
2014/2015,BAYERN MUNICH,"Muller, Thomas",32,28,2373,13,10,40,85,1,0
2014/2015,BAYERN MUNICH,"Gotze, Mario",32,28,2248,9,2,26,56,1,0
2014/2015,BAYERN MUNICH,"Ribéry, Franck",15,9,958,5,7,9,21,2,0
2014/2015,BAYERN MUNICH,"Schweinsteiger, Bastian",20,15,1362,5,4,13,31,4,0
2014/2015,BAYERN MUNICH,"Alaba, David",19,19,1665,2,1,11,27,0,0
2014/2015,BAYERN MUNICH,"Alonso, Xabi",26,24,1973,2,3,9,24,6,0
2014/2015,BAYERN MUNICH,"Hojbjerg, Pierre-Emile",24,13,1292,2,3,6,32,5,0
2014/2015,BAYERN MUNICH,"Lahm, Philipp",20,17,1408,2,2,4,11,0,0
2014/2015,BAYERN MUNICH,"Rode, Sebastian",23,8,959,2,5,3,13,2,0
2014/2015,BAYERN MUNICH,"Benatia, Mehdi",15,13,1151,1,0,2,9,5,0
2014/2015,BAYERN MUNICH,"Bernat, Juan",31,28,2555,1,0,13,28,1,0
2014/2015,BAYERN MUNICH,"Shaqiri, Xherdan",9,3,337,1,2,3,12,0,0
2014/2015,BAYERN MUNICH,"Weiser, Mitchell",13,8,777,1,4,2,6,2,0
2014/2015,BAYERN MUNICH,"Alcántara, Thiago",7,2,281,0,0,3,4,0,0
2014/2015,BAYERN MUNICH,"Badstuber, Holger",10,9,770,0,0,1,4,0,0
2014/2015,BAYERN MUNICH,"Boateng, Jerome",27,25,2139,0,0,6,20,2,1
2014/2015,BAYERN MUNICH,Dante,27,21,1996,0,0,1,7,5,0
2014/2015,BAYERN MUNICH,"Gaudino, Gianluca",8,4,371,0,0,1,1,0,0
2014/2015,BAYERN MUNICH,"Gortler, Lukas",1,0,18,0,0,1,1,0,0
2014/2015,BAYERN MUNICH,"Kurt, Sinan",1,0,45,0,0,0,1,0,0
2014/2015,BAYERN MUNICH,"Martínez, Javi",1,1,62,0,0,0,1,0,0
2014/2015,BAYERN MUNICH,"Neuer, Manuel",32,31,2866,0,0,0,0,1,0
2014/2015,BAYERN MUNICH,"Pizarro, Claudio",13,2,320,0,1,7,13,0,0
2014/2015,BAYERN MUNICH,Rafinha,26,24,2143,0,1,2,9,4,0
2014/2015,BAYERN MUNICH,"Reina, Pepe",3,3,193,0,0,0,0,0,1
2014/2015,BAYERN MUNICH,"Strieder, Rico",1,1,90,0,0,0,0,0,0
2015/2016,BAYERN MUNICH,"Lewandowski, Robert",32,29,2654,30,2,72,150,2,0
2015/2016,BAYERN MUNICH,"Muller, Thomas",31,26,2343,20,5,47,93,4,0
